code,description,subcategory,category,commoncat
d63,anemia in chronic diseases classified elsewhere,aplastic and other anemias and other bone marrow failure syndromes,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d64,other anemias,aplastic and other anemias and other bone marrow failure syndromes,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d65,disseminated intravascular coagulation [defibrination syndrome],"coagulation defects, purpura and other hemorrhagic conditions",diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d66,hereditary factor viii deficiency,"coagulation defects, purpura and other hemorrhagic conditions",diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d67,hereditary factor ix deficiency,"coagulation defects, purpura and other hemorrhagic conditions",diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d68,other coagulation defects,"coagulation defects, purpura and other hemorrhagic conditions",diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d69,purpura and other hemorrhagic conditions,"coagulation defects, purpura and other hemorrhagic conditions",diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d70,neutropenia,other disorders of blood and blood-forming organs,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d71,functional disorders of polymorphonuclear neutrophils,other disorders of blood and blood-forming organs,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d72,other disorders of white blood cells,other disorders of blood and blood-forming organs,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d73,diseases of spleen,other disorders of blood and blood-forming organs,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d74,methemoglobinemia,other disorders of blood and blood-forming organs,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d75,other and unspecified diseases of blood and blood-forming organs,other disorders of blood and blood-forming organs,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d76,other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,other disorders of blood and blood-forming organs,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d77,other disorders of blood and blood-forming organs in diseases classified elsewhere,other disorders of blood and blood-forming organs,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d78,intraoperative and postprocedural complications of the spleen,intraoperative and postprocedural complications of the spleen,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d80,immunodeficiency with predominantly antibody defects,certain disorders involving the immune mechanism,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d81,combined immunodeficiencies,certain disorders involving the immune mechanism,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d82,immunodeficiency associated with other major defects,certain disorders involving the immune mechanism,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d83,common variable immunodeficiency,certain disorders involving the immune mechanism,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d84,other immunodeficiencies,certain disorders involving the immune mechanism,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d86,sarcoidosis,certain disorders involving the immune mechanism,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
d89,"other disorders involving the immune mechanism, nec",certain disorders involving the immune mechanism,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (d50-,"diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e00,congenital iodine-deficiency syndrome,disorders of thyroid gland,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e01,iodine-deficiency related thyroid disorders and allied conditions,disorders of thyroid gland,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e02,subclinical iodine-deficiency hypothyroidism,disorders of thyroid gland,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e03,other hypothyroidism,disorders of thyroid gland,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e04,other nontoxic goiter,disorders of thyroid gland,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e05,thyrotoxicosis [hyperthyroidism],disorders of thyroid gland,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e06,thyroiditis,disorders of thyroid gland,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e07,other disorders of thyroid,disorders of thyroid gland,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e08,diabetes mellitus due to underlying condition,diabetes mellitus,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e09,drug or chemical induced diabetes mellitus,diabetes mellitus,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e10,type 1 diabetes mellitus,diabetes mellitus,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e11,type 2 diabetes mellitus,diabetes mellitus,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e13,other specified diabetes mellitus,diabetes mellitus,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e15,nondiabetic hypoglycemic coma,other disorders of glucose regulation and pancreatic internal secretion,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e16,other disorders of pancreatic internal secretion,other disorders of glucose regulation and pancreatic internal secretion,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e20,hypoparathyroidism,disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e21,hyperparathyroidism and other disorders of parathyroid gland,disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e22,hyperfunction of pituitary gland,disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e23,hypofunction and other disorders of the pituitary gland,disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e24,cushing's syndrome,disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e25,adrenogenital disorders,disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e26,hyperaldosteronism,disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e27,other disorders of adrenal gland,disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e28,ovarian dysfunction,disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e29,testicular dysfunction,disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e30,"disorders of puberty, nec",disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e31,polyglandular dysfunction,disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e32,diseases of thymus,disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e34,other endocrine disorders,disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e35,disorders of endocrine glands in diseases classified elsewhere,disorders of other endocrine glands,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e36,intraoperative complications of endocrine system,intraoperative complications of endocrine system,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e40,kwashiorkor,malnutrition,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e41,nutritional marasmus,malnutrition,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e42,marasmic kwashiorkor,malnutrition,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e43,unspecified severe protein-calorie malnutrition,malnutrition,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e44,protein-calorie malnutrition of moderate and mild degree,malnutrition,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e45,retarded development following protein-calorie malnutrition,malnutrition,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e46,unspecified protein-calorie malnutrition,malnutrition,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e50,vitamin a deficiency,other nutritional deficiencies,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e51,thiamine deficiency,other nutritional deficiencies,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e52,niacin deficiency [pellagra],other nutritional deficiencies,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e53,deficiency of other b group vitamins,other nutritional deficiencies,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e54,ascorbic acid deficiency,other nutritional deficiencies,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e55,vitamin d deficiency,other nutritional deficiencies,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e56,other vitamin deficiencies,other nutritional deficiencies,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e58,dietary calcium deficiency,other nutritional deficiencies,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e59,dietary selenium deficiency,other nutritional deficiencies,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e60,dietary zinc deficiency,other nutritional deficiencies,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e61,deficiency of other nutrient elements,other nutritional deficiencies,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e63,other nutritional deficiencies,other nutritional deficiencies,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e64,sequelae of malnutrition and other nutritional deficiencies,other nutritional deficiencies,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e65,localized adiposity,"overweight, obesity and other hyperalimentation","endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e66,overweight and obesity,"overweight, obesity and other hyperalimentation","endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e67,other hyperalimentation,"overweight, obesity and other hyperalimentation","endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e68,sequelae of hyperalimentation,"overweight, obesity and other hyperalimentation","endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e70,disorders of aromatic amino-acid metabolism,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e71,disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e72,other disorders of amino-acid metabolism,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e73,lactose intolerance,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e74,other disorders of carbohydrate metabolism,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e75,disorders of sphingolipid metabolism and other lipid storage disorders,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e76,disorders of glycosaminoglycan metabolism,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e77,disorders of glycoprotein metabolism,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e78,disorders of lipoprotein metabolism and other lipidemias,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e79,disorders of purine and pyrimidine metabolism,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e80,disorders of porphyrin and bilirubin metabolism,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e83,disorders of mineral metabolism,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e84,cystic fibrosis,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e85,amyloidosis,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e86,volume depletion,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e87,"other disorders of fluid, electrolyte and acid-base balance",metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e88,other and unspecified metabolic disorders,metabolic disorders,"endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
e89,"postprocedural endocrine and metabolic complications and disorders, nec","postprocedural endocrine and metabolic complications and disorders, nec","endocrine, nutritional and metabolic diseases (e00-e89)","diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism/endocrine, nutritional and metabolic diseases"
f01,vascular dementia,mental disorders due to known physiological conditions,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f02,dementia in other diseases classified elsewhere,mental disorders due to known physiological conditions,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f03,unspecified dementia,mental disorders due to known physiological conditions,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f04,amnestic disorder due to known physiological condition,mental disorders due to known physiological conditions,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f05,delirium due to known physiological condition,mental disorders due to known physiological conditions,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f06,other mental disorders due to known physiological condition,mental disorders due to known physiological conditions,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f07,personality and behavioral disorders due to known physiological condition,mental disorders due to known physiological conditions,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f09,unspecified mental disorder due to known physiological condition,mental disorders due to known physiological conditions,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f10,alcohol related disorders,mental and behavioral disorders due to psychoactive substance use,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f11,opioid related disorders,mental and behavioral disorders due to psychoactive substance use,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f12,cannabis related disorders,mental and behavioral disorders due to psychoactive substance use,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f13,"sedative, hypnotic, or anxiolytic related disorders",mental and behavioral disorders due to psychoactive substance use,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f14,cocaine related disorders,mental and behavioral disorders due to psychoactive substance use,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f15,other stimulant related disorders,mental and behavioral disorders due to psychoactive substance use,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f16,hallucinogen related disorders,mental and behavioral disorders due to psychoactive substance use,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f17,nicotine dependence,mental and behavioral disorders due to psychoactive substance use,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f18,inhalant related disorders,mental and behavioral disorders due to psychoactive substance use,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f19,other psychoactive substance related disorders,mental and behavioral disorders due to psychoactive substance use,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f20,schizophrenia,"schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f21,schizotypal disorder,"schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f22,delusional disorders,"schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f23,brief psychotic disorder,"schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f24,shared psychotic disorder,"schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f25,schizoaffective disorders,"schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f28,other psychotic disorder not due to a substance or known physiological condition,"schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f29,unspecified psychosis not due to a substance or known physiological condition,"schizophrenia, schizotypal, delusional, and other non-mood psychotic disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f30,manic episode,mood [affective] disorders,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f31,bipolar disorder,mood [affective] disorders,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f32,depressive episode,mood [affective] disorders,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f33,"major depressive disorder, recurrent",mood [affective] disorders,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f34,persistent mood [affective] disorders,mood [affective] disorders,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f39,unspecified mood [affective] disorder,mood [affective] disorders,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f40,phobic anxiety disorders,"anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f41,other anxiety disorders,"anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f42,obsessive-compulsive disorder,"anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f43,"reaction to severe stress, and adjustment disorders","anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f44,dissociative and conversion disorders,"anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f45,somatoform disorders,"anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f48,other nonpsychotic mental disorders,"anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f50,eating disorders,behavioral syndromes associated with physiological disturbances and physical factors,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
f51,sleep disorders not due to a substance or known physiological condition,behavioral syndromes associated with physiological disturbances and physical factors,"mental, behavioral and neurodevelopmental disorders (f01-f99)","mental, behavioral and neurodevelopmental disorders"
