"code","description","subcategory","commoncat","icd10subcategory","MatchStage","manual_icd10"
"303","alcohol dependence syndrome","neurotic disorders, personality disorders and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders","mental and behavioral disorders due to psychoactive substance use","manual by code","f10"
"304","drug dependence","neurotic disorders, personality disorders and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders","mental and behavioral disorders due to psychoactive substance use","manual by code","f19"
"305","nondependent abuse of drugs","neurotic disorders, personality disorders and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders","behavioral syndromes associated with physiological disturbances and physical factors","manual by code","f55"
"306","physiological malfunction arising from mental factors","neurotic disorders, personality disorders and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders","mental disorders due to known physiological conditions","fuzzy by code",NA
"307","special symptoms or syndromes not elsewhere classified","neurotic disorders, personality disorders and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders","no conversion",NA,NA
"308","acute reaction to stress","neurotic disorders, personality disorders and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders","anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders","fuzzy by code",NA
"309","adjustment reaction","neurotic disorders, personality disorders and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders","anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders","fuzzy by code",NA
"30b","prenatal care","additional diagnostic codes","nan","persons encountering health services in circumstances related to reproduction","manual by code","z34"
"310","specific nonpsychotic mental disorders following organic brain damage","neurotic disorders, personality disorders and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders","mental disorders due to known physiological conditions","manual by code","f06"
"311","depressive disorder, not elsewhere classified","neurotic disorders, personality disorders and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders","mood [affective] disorders","manual by code","f32"
"312","disturbance of conduct not elsewhere classified","neurotic disorders, personality disorders and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders","behavioral and emotional disorders with onset usually occurring in childhood and adolescence","manual by code","f91"
"313","disturbance of emotions specific to childhood and adolescence","neurotic disorders, personality disorders and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders","behavioral and emotional disorders with onset usually occurring in childhood and adolescence","fuzzy by code",NA
"314","hyperkinetic syndrome of childhood","neurotic disorders, personality disorders and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders","behavioral and emotional disorders with onset usually occurring in childhood and adolescence","manual by code","f90"
"315","specific delays in development","neurotic disorders, personality disorders and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders","general symptoms and signs","manual by code","r62"
"316","psychic factors associated with diseases classified elsewhere","neurotic disorders, personality disorders and other nonpsychotic mental disorders","mental, behavioral and neurodevelopmental disorders","behavioral syndromes associated with physiological disturbances and physical factors","fuzzy by code",NA
"317","mild mental retardation","mental retardation","mental, behavioral and neurodevelopmental disorders","disorders of adult personality and behavior","manual by code","f70"
"318","other specified mental retardation","mental retardation","mental, behavioral and neurodevelopmental disorders","disorders of adult personality and behavior","manual by code","f78"
"319","unspecified mental retardation","mental retardation","mental, behavioral and neurodevelopmental disorders","disorders of adult personality and behavior","manual by code","f79"
"31a","removal of sutures","additional diagnostic codes","nan","encounters for other specific health care","manual by code","z48"
"31b","hypertrophy of breast, mammary gland, nipple arising during pregnancy","additional diagnostic codes","nan","disorders of breast","manual by code","n62"
"320","bacterial meningitis","inflammatory diseases of the central nervous system","diseases of the nervous system and sensory organs","inflammatory diseases of the central nervous system","fuzzy by subcategory",NA
"321","meningitis due to other organisms","inflammatory diseases of the central nervous system","diseases of the nervous system and sensory organs","inflammatory diseases of the central nervous system","fuzzy by subcategory",NA
"322","meningitis of unspecified cause","inflammatory diseases of the central nervous system","diseases of the nervous system and sensory organs","inflammatory diseases of the central nervous system","fuzzy by subcategory",NA
"323","encephalitis, myelitis and encephalomyelitis","inflammatory diseases of the central nervous system","diseases of the nervous system and sensory organs","inflammatory diseases of the central nervous system","fuzzy by subcategory",NA
"324","intracranial and intraspinal abscess","inflammatory diseases of the central nervous system","diseases of the nervous system and sensory organs","inflammatory diseases of the central nervous system","fuzzy by subcategory",NA
"325","phlebitis and thrombophlebitis of intracranial venous sinuses","inflammatory diseases of the central nervous system","diseases of the nervous system and sensory organs","inflammatory diseases of the central nervous system","fuzzy by subcategory",NA
"326","late effects of intracranial abscess or pyogenic infection","inflammatory diseases of the central nervous system","diseases of the nervous system and sensory organs","inflammatory diseases of the central nervous system","fuzzy by subcategory",NA
"32a","injection – allergy","additional diagnostic codes","nan","complications of surgical and medical care, nec","manual by code","t80"
"32b","erosion and inflammation of cervix (uteri) arising during pregnancy","additional diagnostic codes","nan","noninflammatory disorders of female genital tract","manual by code","n86"
"330","cerebral degenerations usually manifest in childhood","hereditary and degenerative diseases of central nervous system","diseases of the nervous system and sensory organs","cerebral palsy and other paralytic syndromes","fuzzy by code",NA
"331","other cerebral degenerations","hereditary and degenerative diseases of central nervous system","diseases of the nervous system and sensory organs","cerebral palsy and other paralytic syndromes","fuzzy by code",NA
"332","parkinson's disease","hereditary and degenerative diseases of central nervous system","diseases of the nervous system and sensory organs","extrapyramidal and movement disorders","fuzzy by code",NA
"333","other extrapyramidal disease and abnormal movement disorders","hereditary and degenerative diseases of central nervous system","diseases of the nervous system and sensory organs","extrapyramidal and movement disorders","fuzzy by code",NA
"334","spinocerebellar disease","hereditary and degenerative diseases of central nervous system","diseases of the nervous system and sensory organs","systemic atrophies primarily affecting the central nervous system","manual by code","g11"
"335","anterior horn cell disease","hereditary and degenerative diseases of central nervous system","diseases of the nervous system and sensory organs","systemic atrophies primarily affecting the central nervous system","manual by code","g12"
"336","other diseases of spinal cord","hereditary and degenerative diseases of central nervous system","diseases of the nervous system and sensory organs","other disorders of the nervous system","fuzzy by code",NA
"337","disorders of the autonomic nervous system","hereditary and degenerative diseases of central nervous system","diseases of the nervous system and sensory organs","other disorders of the nervous system","fuzzy by code",NA
"33a","injection – other","additional diagnostic codes","nan","complications of surgical and medical care, nec","manual by code","t80"
"33b","leukerrhea, vaginal discharge not otherwise specified arising during pregnancy","additional diagnostic codes","nan","no conversion",NA,NA
"340","multiple sclerosis","other disorders of the central nervous system","diseases of the nervous system and sensory organs","other disorders of the nervous system","fuzzy by subcategory",NA
"341","other demyelinating diseases of central nervous system","other disorders of the central nervous system","diseases of the nervous system and sensory organs","other disorders of the nervous system","fuzzy by subcategory",NA
"342","hemiplegia","other disorders of the central nervous system","diseases of the nervous system and sensory organs","other disorders of the nervous system","fuzzy by subcategory",NA
"343","infantile cerebral palsy","other disorders of the central nervous system","diseases of the nervous system and sensory organs","other disorders of the nervous system","fuzzy by subcategory",NA
"344","other paralytic syndromes","other disorders of the central nervous system","diseases of the nervous system and sensory organs","other disorders of the nervous system","fuzzy by subcategory",NA
"345","epilepsy","other disorders of the central nervous system","diseases of the nervous system and sensory organs","other disorders of the nervous system","fuzzy by subcategory",NA
"346","migraine","other disorders of the central nervous system","diseases of the nervous system and sensory organs","other disorders of the nervous system","fuzzy by subcategory",NA
"347","cataplexy and narcolepsy","other disorders of the central nervous system","diseases of the nervous system and sensory organs","other disorders of the nervous system","fuzzy by subcategory",NA
"348","other conditions of brain","other disorders of the central nervous system","diseases of the nervous system and sensory organs","other disorders of the nervous system","fuzzy by subcategory",NA
"349","other and unspecified disorders of the nervous system","other disorders of the central nervous system","diseases of the nervous system and sensory organs","other disorders of the nervous system","fuzzy by subcategory",NA
"34a","contraceptive advice","additional diagnostic codes","nan","persons encountering health services in circumstances related to reproduction","manual by code","z30"
"34b","hypertensive disease arising during pregnancy","additional diagnostic codes","nan","no conversion",NA,NA
"350","trigeminal nerve disorders","disorders of the peripheral nervous system","diseases of the nervous system and sensory organs","polyneuropathies and other disorders of the peripheral nervous system","fuzzy by subcategory",NA
"351","facial nerve disorders","disorders of the peripheral nervous system","diseases of the nervous system and sensory organs","polyneuropathies and other disorders of the peripheral nervous system","fuzzy by subcategory",NA
"352","disorders of other cranial nerves","disorders of the peripheral nervous system","diseases of the nervous system and sensory organs","polyneuropathies and other disorders of the peripheral nervous system","fuzzy by subcategory",NA
"353","nerve root and plexus disorders","disorders of the peripheral nervous system","diseases of the nervous system and sensory organs","polyneuropathies and other disorders of the peripheral nervous system","fuzzy by subcategory",NA
"354","mononeuritis of upper limb and mononeuritis multiplex","disorders of the peripheral nervous system","diseases of the nervous system and sensory organs","polyneuropathies and other disorders of the peripheral nervous system","fuzzy by subcategory",NA
"355","mononeuritis of lower limb","disorders of the peripheral nervous system","diseases of the nervous system and sensory organs","polyneuropathies and other disorders of the peripheral nervous system","fuzzy by subcategory",NA
"356","hereditary and idiopathic peripheral neuropathy","disorders of the peripheral nervous system","diseases of the nervous system and sensory organs","polyneuropathies and other disorders of the peripheral nervous system","fuzzy by subcategory",NA
"357","inflammatory and toxic neuropathy","disorders of the peripheral nervous system","diseases of the nervous system and sensory organs","polyneuropathies and other disorders of the peripheral nervous system","fuzzy by subcategory",NA
"358","myoneural disorders","disorders of the peripheral nervous system","diseases of the nervous system and sensory organs","polyneuropathies and other disorders of the peripheral nervous system","fuzzy by subcategory",NA
"359","muscular dystrophies and other myopathies","disorders of the peripheral nervous system","diseases of the nervous system and sensory organs","polyneuropathies and other disorders of the peripheral nervous system","fuzzy by subcategory",NA
"35a","benign skin lesions including keratosis, warts other than plantar warts (for plantar warts see 45a)","additional diagnostic codes","nan","other disorders of the skin and subcutaneous tissue","manual by code","l82"
"35b","false labour","additional diagnostic codes","nan","maternal care related to the fetus and amniotic cavity and possible delivery problems","manual by code","o47"
"360","disorders of the globe","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of vitreous body and globe","fuzzy by code",NA
"361","retinal detachments and defects","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of choroid and retina","fuzzy by code",NA
"362","other retinal disorders","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of choroid and retina","fuzzy by code",NA
"363","chorioretinal inflammations and scars and other disorders of choroid","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of choroid and retina","fuzzy by code",NA
"364","disorders of iris and ciliary body","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of sclera, cornea, iris and ciliary body","fuzzy by code",NA
"365","glaucoma","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","glaucoma","fuzzy by code",NA
"366","cataract","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of lens","fuzzy by code",NA
"367","disorders of refraction and accommodation","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of ocular muscles, binocular movement, accommodation and refraction","fuzzy by code",NA
"368","visual disturbances","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","visual disturbances and blindness","fuzzy by code",NA
"369","blindness and low vision","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","visual disturbances and blindness","fuzzy by code",NA
"36a","fecal impaction","additional diagnostic codes","nan","other diseases of intestines","manual by code","k56"
"36b","pregnancy, examination pregnancy unconfirmed","additional diagnostic codes","nan","persons encountering health services in circumstances related to reproduction","manual by code","z32"
"370","keratitis","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of sclera, cornea, iris and ciliary body","fuzzy by code",NA
"371","corneal opacity and other disorders of cornea","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of sclera, cornea, iris and ciliary body","fuzzy by code",NA
"372","disorders of conjunctiva","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of conjunctiva","fuzzy by code",NA
"373","inflammation of eyelids","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of eyelid, lacrimal system and orbit","fuzzy by code",NA
"374","other disorders of eyelids","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of eyelid, lacrimal system and orbit","fuzzy by code",NA
"375","disorders of lacrimal system","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of eyelid, lacrimal system and orbit","fuzzy by code",NA
"376","disorders of the orbit","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of eyelid, lacrimal system and orbit","fuzzy by code",NA
"377","disorders of optic nerve and visual pathways","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of optic nerve and visual pathways","fuzzy by code",NA
"378","strabismus and other disorders of binocular eye movements","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","disorders of ocular muscles, binocular movement, accommodation and refraction","fuzzy by code",NA
"379","other disorders of eye","disorders of the eye and adnexa","diseases of the nervous system and sensory organs","other disorders of eye and adnexa","fuzzy by code",NA
"37b","premature rupture of membranes","additional diagnostic codes","nan","maternal care related to the fetus and amniotic cavity and possible delivery problems","manual by code","o42"
"380","disorders of external ear","disorders of ear and mastoid process","diseases of the nervous system and sensory organs","diseases of external ear","fuzzy by code",NA
"381","nonsuppurative otitis media and eustachian tube disorders","disorders of ear and mastoid process","diseases of the nervous system and sensory organs","diseases of middle ear and mastoid","fuzzy by code",NA
"382","suppurative and unspecified otitis media","disorders of ear and mastoid process","diseases of the nervous system and sensory organs","diseases of middle ear and mastoid","fuzzy by code",NA
"383","mastoiditis and related conditions","disorders of ear and mastoid process","diseases of the nervous system and sensory organs","diseases of middle ear and mastoid","fuzzy by code",NA
"384","other disorders of tympanic membrane","disorders of ear and mastoid process","diseases of the nervous system and sensory organs","diseases of middle ear and mastoid","fuzzy by code",NA
"385","other disorders of middle ear and mastoid","disorders of ear and mastoid process","diseases of the nervous system and sensory organs","diseases of middle ear and mastoid","fuzzy by code",NA
"386","vertiginous syndromes and other disorders of vestibular system","disorders of ear and mastoid process","diseases of the nervous system and sensory organs","diseases of inner ear","manual by code","h81"
"387","otosclerosis","disorders of ear and mastoid process","diseases of the nervous system and sensory organs","diseases of inner ear","fuzzy by code",NA
"388","other disorders of ear","disorders of ear and mastoid process","diseases of the nervous system and sensory organs","other disorders of ear","manual by code","h93"
"389","deafness","disorders of ear and mastoid process","diseases of the nervous system and sensory organs","other disorders of ear","manual by code","h91"
"38b","threatened abortion","additional diagnostic codes","nan","other maternal disorders predominantly related to pregnancy","manual by code","o20"
"390","rheumatic fever without mention of heart involvement","acute rheumatic fever","diseases of the circulatory system","acute rheumatic fever","fuzzy by subcategory",NA
"391","rheumatic fever with heart involvement","acute rheumatic fever","diseases of the circulatory system","acute rheumatic fever","fuzzy by subcategory",NA
"392","rheumatic chorea","acute rheumatic fever","diseases of the circulatory system","acute rheumatic fever","fuzzy by subcategory",NA
"393","chronic rheumatic pericarditis","chronic rheumatic heart disease","diseases of the circulatory system","chronic rheumatic heart diseases","fuzzy by subcategory",NA
"394","diseases of mitral valve","chronic rheumatic heart disease","diseases of the circulatory system","chronic rheumatic heart diseases","fuzzy by subcategory",NA
"395","diseases of aortic valve","chronic rheumatic heart disease","diseases of the circulatory system","chronic rheumatic heart diseases","fuzzy by subcategory",NA
"396","diseases of mitral and aortic valves","chronic rheumatic heart disease","diseases of the circulatory system","chronic rheumatic heart diseases","fuzzy by subcategory",NA
"397","diseases of other endocardial structures","chronic rheumatic heart disease","diseases of the circulatory system","chronic rheumatic heart diseases","fuzzy by subcategory",NA
"398","other rheumatic heart disease","chronic rheumatic heart disease","diseases of the circulatory system","chronic rheumatic heart diseases","fuzzy by subcategory",NA
"401","essential hypertension","hypertensive disease","diseases of the circulatory system","hypertensive diseases","fuzzy by subcategory",NA
"402","hypertensive heart disease","hypertensive disease","diseases of the circulatory system","hypertensive diseases","fuzzy by subcategory",NA
"403","hypertensive renal disease","hypertensive disease","diseases of the circulatory system","hypertensive diseases","fuzzy by subcategory",NA
"404","hypertensive heart and renal disease","hypertensive disease","diseases of the circulatory system","hypertensive diseases","fuzzy by subcategory",NA
"405","secondary hypertension","hypertensive disease","diseases of the circulatory system","hypertensive diseases","fuzzy by subcategory",NA
"410","acute myocardial infarction","ischaemic heart disease","diseases of the circulatory system","ischemic heart diseases","fuzzy by subcategory",NA
"411","other acute and subacute forms of ischaemic heart disease","ischaemic heart disease","diseases of the circulatory system","ischemic heart diseases","fuzzy by subcategory",NA
"412","old myocardial infarction","ischaemic heart disease","diseases of the circulatory system","ischemic heart diseases","fuzzy by subcategory",NA
"413","angina pectoris","ischaemic heart disease","diseases of the circulatory system","ischemic heart diseases","fuzzy by subcategory",NA
"414","other forms of chronic ischaemic heart disease","ischaemic heart disease","diseases of the circulatory system","ischemic heart diseases","fuzzy by subcategory",NA
"415","acute pulmonary heart disease","diseases of pulmonary circulation","diseases of the circulatory system","pulmonary heart disease and diseases of pulmonary circulation","fuzzy by subcategory",NA
"416","chronic pulmonary heart disease","diseases of pulmonary circulation","diseases of the circulatory system","pulmonary heart disease and diseases of pulmonary circulation","fuzzy by subcategory",NA
"417","other diseases of pulmonary circulation","diseases of pulmonary circulation","diseases of the circulatory system","pulmonary heart disease and diseases of pulmonary circulation","fuzzy by subcategory",NA
"420","acute pericarditis","other forms of heart diseases","diseases of the circulatory system","other forms of heart disease","fuzzy by subcategory",NA
"421","acute and subacute endocarditis","other forms of heart diseases","diseases of the circulatory system","other forms of heart disease","fuzzy by subcategory",NA
"422","acute myocarditis","other forms of heart diseases","diseases of the circulatory system","other forms of heart disease","fuzzy by subcategory",NA
"423","other diseases of pericardium","other forms of heart diseases","diseases of the circulatory system","other forms of heart disease","fuzzy by subcategory",NA
"424","other diseases of endocardium","other forms of heart diseases","diseases of the circulatory system","other forms of heart disease","fuzzy by subcategory",NA
"425","cardiomyopathy","other forms of heart diseases","diseases of the circulatory system","other forms of heart disease","fuzzy by subcategory",NA
"426","conduction disorders","other forms of heart diseases","diseases of the circulatory system","other forms of heart disease","fuzzy by subcategory",NA
"427","cardiac dysrhythmias","other forms of heart diseases","diseases of the circulatory system","other forms of heart disease","fuzzy by subcategory",NA
"428","heart failure","other forms of heart diseases","diseases of the circulatory system","other forms of heart disease","fuzzy by subcategory",NA
"429","ill-defined descriptions and complications of heart disease","other forms of heart diseases","diseases of the circulatory system","other forms of heart disease","fuzzy by subcategory",NA
"42a","removal of cast","additional diagnostic codes","nan","encounters for other specific health care","manual by code","z47"
"430","subarachnoid haemorrhage","cerebrovascular disease","diseases of the circulatory system","cerebrovascular diseases","fuzzy by subcategory",NA
"431","intracerebral haemorrhage","cerebrovascular disease","diseases of the circulatory system","cerebrovascular diseases","fuzzy by subcategory",NA
"432","other and unspecified intracranial haemorrhage","cerebrovascular disease","diseases of the circulatory system","cerebrovascular diseases","fuzzy by subcategory",NA
"433","occlusion and stenosis of precerebral arteries","cerebrovascular disease","diseases of the circulatory system","cerebrovascular diseases","fuzzy by subcategory",NA
"434","occlusion of cerebral arteries","cerebrovascular disease","diseases of the circulatory system","cerebrovascular diseases","fuzzy by subcategory",NA
"435","transient cerebral ischaemia","cerebrovascular disease","diseases of the circulatory system","cerebrovascular diseases","fuzzy by subcategory",NA
"436","acute but ill-defined cerebrovascular disease","cerebrovascular disease","diseases of the circulatory system","cerebrovascular diseases","fuzzy by subcategory",NA
"437","other and ill-defined cerebrovascular disease","cerebrovascular disease","diseases of the circulatory system","cerebrovascular diseases","fuzzy by subcategory",NA
"438","late effects of cerebrovascular disease","cerebrovascular disease","diseases of the circulatory system","cerebrovascular diseases","fuzzy by subcategory",NA
"43a","change of dressing","additional diagnostic codes","nan","encounters for other specific health care","manual by code","z48"
"440","atherosclerosis","diseases of arteries, arterioles and capillaries","diseases of the circulatory system","diseases of arteries, arterioles and capillaries","fuzzy by subcategory",NA
"441","aortic aneurysm","diseases of arteries, arterioles and capillaries","diseases of the circulatory system","diseases of arteries, arterioles and capillaries","fuzzy by subcategory",NA
"442","other aneurysm","diseases of arteries, arterioles and capillaries","diseases of the circulatory system","diseases of arteries, arterioles and capillaries","fuzzy by subcategory",NA
"443","other peripheral vascular disease","diseases of arteries, arterioles and capillaries","diseases of the circulatory system","diseases of arteries, arterioles and capillaries","fuzzy by subcategory",NA
"444","arterial embolism and thrombosis","diseases of arteries, arterioles and capillaries","diseases of the circulatory system","diseases of arteries, arterioles and capillaries","fuzzy by subcategory",NA
"446","polyarteritis nodosa and allied conditions","diseases of arteries, arterioles and capillaries","diseases of the circulatory system","diseases of arteries, arterioles and capillaries","fuzzy by subcategory",NA
"447","other disorders of arteries and arterioles","diseases of arteries, arterioles and capillaries","diseases of the circulatory system","diseases of arteries, arterioles and capillaries","fuzzy by subcategory",NA
"448","diseases of capillaries","diseases of arteries, arterioles and capillaries","diseases of the circulatory system","diseases of arteries, arterioles and capillaries","fuzzy by subcategory",NA
"44a","contact with communicable diseases","additional diagnostic codes","nan","persons with potential health hazards related to communicable diseases","manual by code","z20"
"451","phlebitis and thrombophlebitis","diseases of veins and lymphatics, and other diseaseas of circulatory system","diseases of the circulatory system","diseases of veins, lymphatic vessels and lymph nodes, nec","manual by code","i80"
"452","portal vein thrombosis","diseases of veins and lymphatics, and other diseaseas of circulatory system","diseases of the circulatory system","diseases of veins, lymphatic vessels and lymph nodes, nec","fuzzy by code",NA
"453","other venous embolism and thrombosis","diseases of veins and lymphatics, and other diseaseas of circulatory system","diseases of the circulatory system","diseases of veins, lymphatic vessels and lymph nodes, nec","fuzzy by code",NA
"454","varicose veins of lower extremities","diseases of veins and lymphatics, and other diseaseas of circulatory system","diseases of the circulatory system","diseases of veins, lymphatic vessels and lymph nodes, nec","fuzzy by code",NA
"455","haemorrhoids","diseases of veins and lymphatics, and other diseaseas of circulatory system","diseases of the circulatory system","other diseases of intestines","manual by code","k64"
"456","varicose veins of other sites","diseases of veins and lymphatics, and other diseaseas of circulatory system","diseases of the circulatory system","diseases of veins, lymphatic vessels and lymph nodes, nec","fuzzy by code",NA
"457","noninfective disorders of lymphatic channels","diseases of veins and lymphatics, and other diseaseas of circulatory system","diseases of the circulatory system","diseases of veins, lymphatic vessels and lymph nodes, nec","fuzzy by code",NA
"458","hypotension","diseases of veins and lymphatics, and other diseaseas of circulatory system","diseases of the circulatory system","other and unspecified disorders of the circulatory system","fuzzy by code",NA
"459","other disorders of circulatory system","diseases of veins and lymphatics, and other diseaseas of circulatory system","diseases of the circulatory system","other and unspecified disorders of the circulatory system","fuzzy by code",NA
"45a","plantar warts","additional diagnostic codes","nan","viral infections characterized by skin and mucous membrane lesions","manual by code","b07"
"460","acute nasopharyngitis (common cold)","acute respiratory infections","diseases of the respiratory system","acute upper respiratory infections","fuzzy by subcategory",NA
"461","acute sinusitis","acute respiratory infections","diseases of the respiratory system","acute upper respiratory infections","fuzzy by subcategory",NA
"462","acute pharyngitis","acute respiratory infections","diseases of the respiratory system","acute upper respiratory infections","fuzzy by subcategory",NA
"463","acute tonsillitis","acute respiratory infections","diseases of the respiratory system","acute upper respiratory infections","fuzzy by subcategory",NA
"464","acute laryngitis and tracheitis","acute respiratory infections","diseases of the respiratory system","acute upper respiratory infections","fuzzy by subcategory",NA
"465","acute upper respiratory infections of multiple or unspecified site","acute respiratory infections","diseases of the respiratory system","acute upper respiratory infections","fuzzy by subcategory",NA
"466","acute bronchitis and bronchiolitis","acute respiratory infections","diseases of the respiratory system","acute upper respiratory infections","fuzzy by subcategory",NA
"470","deflected nasal septum","other diseases of upper respiratory tract","diseases of the respiratory system","other diseases of upper respiratory tract","fuzzy by subcategory",NA
"471","nasal polyps","other diseases of upper respiratory tract","diseases of the respiratory system","other diseases of upper respiratory tract","fuzzy by subcategory",NA
"472","chronic pharyngitis and nasopharyngitis","other diseases of upper respiratory tract","diseases of the respiratory system","other diseases of upper respiratory tract","fuzzy by subcategory",NA
"473","chronic sinusitis","other diseases of upper respiratory tract","diseases of the respiratory system","other diseases of upper respiratory tract","fuzzy by subcategory",NA
"474","chronic disease of tonsils and adenoids","other diseases of upper respiratory tract","diseases of the respiratory system","other diseases of upper respiratory tract","fuzzy by subcategory",NA
"475","peritonsillar abscess","other diseases of upper respiratory tract","diseases of the respiratory system","other diseases of upper respiratory tract","fuzzy by subcategory",NA
"476","chronic laryngitis and laryngotracheitis","other diseases of upper respiratory tract","diseases of the respiratory system","other diseases of upper respiratory tract","fuzzy by subcategory",NA
"477","allergic rhinitis","other diseases of upper respiratory tract","diseases of the respiratory system","other diseases of upper respiratory tract","fuzzy by subcategory",NA
"478","other diseases of upper respiratory tract","other diseases of upper respiratory tract","diseases of the respiratory system","other diseases of upper respiratory tract","fuzzy by subcategory",NA
"480","viral pneumonia","pneumonia and influenza","diseases of the respiratory system","influenza and pneumonia","fuzzy by subcategory",NA
"481","pneumococcal pneumonia","pneumonia and influenza","diseases of the respiratory system","influenza and pneumonia","fuzzy by subcategory",NA
"482","other bacterial pneumonia","pneumonia and influenza","diseases of the respiratory system","influenza and pneumonia","fuzzy by subcategory",NA
"483","pneumonia due to other specified organism","pneumonia and influenza","diseases of the respiratory system","influenza and pneumonia","fuzzy by subcategory",NA
"484","pneumonia in infectious diseases classified elsewhere","pneumonia and influenza","diseases of the respiratory system","influenza and pneumonia","fuzzy by subcategory",NA
"485","bronchopneumonia, organism unspecified","pneumonia and influenza","diseases of the respiratory system","influenza and pneumonia","fuzzy by subcategory",NA
"486","pneumonia, organism unspecified","pneumonia and influenza","diseases of the respiratory system","influenza and pneumonia","fuzzy by subcategory",NA
"487","influenza","pneumonia and influenza","diseases of the respiratory system","influenza and pneumonia","fuzzy by subcategory",NA
"490","bronchitis, not specified as acute or chronic","chronic obstructive pulmonary disease and allied conditions","diseases of the respiratory system","chronic lower respiratory diseases","manual by code","j40"
"491","chronic bronchitis","chronic obstructive pulmonary disease and allied conditions","diseases of the respiratory system","chronic lower respiratory diseases","manual by code","j41"
"492","emphysema","chronic obstructive pulmonary disease and allied conditions","diseases of the respiratory system","chronic lower respiratory diseases","fuzzy by code",NA
"493","asthma","chronic obstructive pulmonary disease and allied conditions","diseases of the respiratory system","chronic lower respiratory diseases","fuzzy by code",NA
"494","bronchiectasis","chronic obstructive pulmonary disease and allied conditions","diseases of the respiratory system","chronic lower respiratory diseases","fuzzy by code",NA
"495","extrinsic allergic alveolitis","chronic obstructive pulmonary disease and allied conditions","diseases of the respiratory system","lung diseases due to external agents","manual by code","j67"
"496","chronic airways obstruction, not elsewhere classified","chronic obstructive pulmonary disease and allied conditions","diseases of the respiratory system","chronic lower respiratory diseases","manual by code","j44"
"500","coalworkers' pneumoconiosis","pneumoconisoses and other lung diseases due to external agents","diseases of the respiratory system","lung diseases due to external agents","fuzzy by subcategory",NA
"501","asbestosis","pneumoconisoses and other lung diseases due to external agents","diseases of the respiratory system","lung diseases due to external agents","fuzzy by subcategory",NA
"502","pneumoconiosis due to other silica or silicates","pneumoconisoses and other lung diseases due to external agents","diseases of the respiratory system","lung diseases due to external agents","fuzzy by subcategory",NA
"503","pneumoconiosis due to other inorganic dust","pneumoconisoses and other lung diseases due to external agents","diseases of the respiratory system","lung diseases due to external agents","fuzzy by subcategory",NA
"504","pneumopathy due to inhalation of other dust","pneumoconisoses and other lung diseases due to external agents","diseases of the respiratory system","lung diseases due to external agents","fuzzy by subcategory",NA
"505","pneumoconiosis, unspecified","pneumoconisoses and other lung diseases due to external agents","diseases of the respiratory system","lung diseases due to external agents","fuzzy by subcategory",NA
"506","respiratory conditions due to chemical fumes and vapours","pneumoconisoses and other lung diseases due to external agents","diseases of the respiratory system","lung diseases due to external agents","fuzzy by subcategory",NA
"507","pneumonitis due to solids and liquids","pneumoconisoses and other lung diseases due to external agents","diseases of the respiratory system","lung diseases due to external agents","fuzzy by subcategory",NA
"508","respiratory conditions due to other and unspecified external agents","pneumoconisoses and other lung diseases due to external agents","diseases of the respiratory system","lung diseases due to external agents","fuzzy by subcategory",NA
"50b","anxiety/depression","additional diagnostic codes","nan","anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders","manual by code","f41"
